20230601091410.4+0i,29.8759996891022+0i,9.858465+0i,2.3918716+0i,2.038633+0i,2.1093444+0i,-0.38264075+0i,0.56282206+0i,0.040083107+0i,-0.03173764+0i,1.2815067+0i,-0.013749017+0i,9.9e+37+0i,-9.9e+37+0i,568.206+0i,389.074+0i,-9.9e+37+0i,29.8759996891022+0i,NaN+0i,21.1104347092824+0i,41.7919435989534+0i,1349.3954831681+0i,236.555367933671+0i,25.630134+0i,9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,389.074+0i,-9.9e+37+0i,0+3.42752721567639e-17i
20230601091411.4+0i,30.847992002964+0i,9.8583663+0i,2.9133228+0i,2.0383038+0i,2.1094102+0i,-0.34704177+0i,0.000752791+0i,-0.015538601+0i,-0.05464827+0i,1.2817152+0i,-0.021400624+0i,-9.9e+37+0i,-9.9e+37+0i,897.087+0i,799.879+0i,-9.9e+37+0i,30.847992002964+0i,NaN+0i,21.1101607726713+0i,41.3746394710552+0i,1350.22786885029+0i,288.699852976534+0i,25.634304+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,799.879+0i,-9.9e+37+0i,0+3.82396576118714e-17i
20230601091412.4+0i,31.7929979413748+0i,9.8578944+0i,1.907812+0i,2.0377331+0i,2.1094102+0i,1.0532616+0i,0.00082165+0i,0.003790619+0i,-0.079086718+0i,1.2817262+0i,-0.017150835+0i,-9.9e+37+0i,-9.9e+37+0i,632.546+0i,1397.144+0i,-9.9e+37+0i,31.7929979413748+0i,NaN+0i,21.1088510392691+0i,40.6512024546778+0i,1350.22786885029+0i,188.14999736006+0i,25.634524+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,1397.144+0i,-9.9e+37+0i,0+3.23612434838811e-17i
20230601091413.3+0i,32.7539965510368+0i,9.8575761+0i,2.2188304+0i,2.0377002+0i,2.1093663+0i,0.009636+0i,0.59763126+0i,0.065699929+0i,-0.059706234+0i,1.2817262+0i,-0.01093083+0i,9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,1202.47+0i,376.878+0i,32.7539965510368+0i,NaN+0i,21.1079676145141+0i,40.6094973945083+0i,1349.67252338755+0i,219.251458641298+0i,25.634524+0i,9.9e+37+0i,-9.9e+37+0i,376.878+0i,1202.47+0i,376.878+0i,0+3.71762923893094e-17i
20230601091414.4+0i,33.7899997830391+0i,9.8574993+0i,2.5020267+0i,2.037766+0i,2.1093224+0i,0.000166753+0i,-0.42065434+0i,-0.064068887+0i,-0.07053506+0i,1.2817262+0i,-0.010303484+0i,-9.9e+37+0i,777.148+0i,709.954+0i,1091.396+0i,-9.9e+37+0i,33.7899997830391+0i,NaN+0i,21.1077544601906+0i,40.6929075148473+0i,1349.11717792482+0i,247.570743800761+0i,25.634524+0i,-9.9e+37+0i,777.148+0i,-9.9e+37+0i,1091.396+0i,-9.9e+37+0i,11.8376350119652+0i
20230601091415.3+0i,34.7429919987917+0i,9.8569505+0i,2.453375+0i,2.0377441+0i,2.1093444+0i,0.00682375+0i,-0.48574621+0i,-0.023772531+0i,-0.058988962+0i,1.2817482+0i,-0.012988466+0i,-9.9e+37+0i,252.627+0i,-9.9e+37+0i,1182.313+0i,923.513+0i,34.7429919987917+0i,NaN+0i,21.1062312949202+0i,40.6651463957678+0i,1349.3954831681+0i,242.705633042631+0i,25.634964+0i,-9.9e+37+0i,252.627+0i,923.513+0i,1182.313+0i,923.513+0i,17.4282930280384+0i
20230601091416.3+0i,35.6919910758734+0i,9.8566316+0i,3.0709337+0i,2.037766+0i,2.1093224+0i,0.0080336+0i,0.67341923+0i,0.055161589+0i,-0.03319973+0i,1.2817262+0i,0.005581082+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,677.59+0i,1350.759+0i,35.6919910758734+0i,NaN+0i,21.105346204897+0i,40.6929075148473+0i,1349.11717792482+0i,304.46075105797+0i,25.634524+0i,-9.9e+37+0i,-9.9e+37+0i,1350.759+0i,677.59+0i,1350.759+0i,0+4.62024064558472e-17i
20230601091417.3+0i,36.7309916764498+0i,9.8565331+0i,1.8125828+0i,2.0386111+0i,2.1093114+0i,-0.000424859+0i,0.50765642+0i,0.04603278+0i,0.008131767+0i,1.2817591+0i,0.001016142+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,173.743+0i,891.806+0i,36.7309916764498+0i,NaN+0i,21.1050728233753+0i,41.7641824798739+0i,1348.97802530318+0i,178.627193318102+0i,25.635182+0i,-9.9e+37+0i,-9.9e+37+0i,891.806+0i,173.743+0i,891.806+0i,0+3.568745188177e-17i
20230601091418.1+0i,37.5829987227917+0i,9.8564562+0i,3.0643707+0i,2.037766+0i,2.1086859+0i,-0.002563689+0i,-0.50842743+0i,-0.031604981+0i,-0.032141955+0i,1.2817152+0i,-0.009051747+0i,-9.9e+37+0i,1113.216+0i,-9.9e+37+0i,500.369+0i,360.981+0i,37.5829987227917+0i,NaN+0i,21.104859391507+0i,40.6929075148473+0i,1341.06530122712+0i,303.804459049559+0i,25.634304+0i,-9.9e+37+0i,1113.216+0i,360.981+0i,500.369+0i,360.981+0i,13.0620234477468+0i
20230601091419.3+0i,38.7189913541079+0i,9.8558197+0i,0.000927411+0i,2.0377331+0i,2.1093553+0i,0.00382161+0i,-0.75663715+0i,0.033771732+0i,-0.032902613+0i,1.2817152+0i,-0.000952217+0i,-9.9e+37+0i,593.426+0i,-9.9e+37+0i,664.542+0i,1012.105+0i,38.7189913541079+0i,NaN+0i,21.1030928195416+0i,40.6512024546778+0i,1349.53337076591+0i,-2.53613957773291+0i,25.634304+0i,-9.9e+37+0i,593.426+0i,1012.105+0i,664.542+0i,1012.105+0i,0+1.52477329352454i
20230601091420.1+0i,39.5709984004498+0i,9.8553807+0i,0.083623277+0i,2.0370746+0i,2.1093663+0i,0.91186389+0i,0.24549666+0i,0.062299738+0i,0.033816644+0i,1.2817482+0i,0.020169341+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,1286.585+0i,39.5709984004498+0i,NaN+0i,21.1018743983432+0i,39.8164674357804+0i,1349.67252338755+0i,5.73334632572958+0i,25.634964+0i,-9.9e+37+0i,-9.9e+37+0i,1286.585+0i,-9.9e+37+0i,1286.585+0i,0+7.02140840520497e-18i
20230601091421+0i,40.4299959540367+0i,9.8549746+0i,0.081789099+0i,2.0370088+0i,2.1093663+0i,-0.52537131+0i,0.12688226+0i,0.050620897+0i,0.053641031+0i,1.2817152+0i,0.009116877+0i,-9.9e+37+0i,296.916+0i,-9.9e+37+0i,-9.9e+37+0i,367.247+0i,40.4299959540367+0i,NaN+0i,21.1007472893485+0i,39.7330573154418+0i,1349.67252338755+0i,5.54993075915893+0i,25.634304+0i,-9.9e+37+0i,296.916+0i,367.247+0i,-9.9e+37+0i,367.247+0i,3.07437845300895+0i
20230601091421.9+0i,41.2899993360043+0i,9.8545027+0i,0.062726126+0i,2.0370636+0i,2.1093883+0i,-0.49997572+0i,0.49743226+0i,-0.052321828+0i,-0.019611802+0i,1.2817262+0i,0.002762348+0i,-9.9e+37+0i,-9.9e+37+0i,554.143+0i,-9.9e+37+0i,-9.9e+37+0i,41.2899993360043+0i,NaN+0i,21.0994375559464+0i,39.8025234946908+0i,1349.95082863084+0i,3.64365667162974+0i,25.634524+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0+5.97165706741229e-18i
20230601091423+0i,42.4069918692112+0i,9.8541954+0i,0.071430078+0i,2.0370636+0i,2.1093663+0i,0.000468131+0i,7.4744e-05+0i,-0.034333559+0i,-0.041225807+0i,1.2816823+0i,-0.017552964+0i,-9.9e+37+0i,-9.9e+37+0i,659.224+0i,286.217+0i,-9.9e+37+0i,42.4069918692112+0i,NaN+0i,21.0985846611075+0i,39.8025234946908+0i,1349.67252338755+0i,4.51404127306089+0i,25.633646+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,286.217+0i,-9.9e+37+0i,0+6.79524472704693e-18i
20230601091424+0i,43.4539988636971+0i,9.8538771+0i,0.10131572+0i,2.0370417+0i,2.1093553+0i,0.00788062+0i,0.00406011+0i,-0.022252636+0i,-0.055186556+0i,1.2816823+0i,-0.02815891+0i,-9.9e+37+0i,1142.64+0i,551.973+0i,966.165+0i,-9.9e+37+0i,43.4539988636971+0i,NaN+0i,21.0977012363524+0i,39.7747623756113+0i,1349.53337076591+0i,7.50256908211639+0i,25.633646+0i,-9.9e+37+0i,1142.64+0i,-9.9e+37+0i,966.165+0i,-9.9e+37+0i,2.36900316454679+0i
20230601091424.9+0i,44.3050000816584+0i,9.8533504+0i,0.055203113+0i,2.0370527+0i,2.1093224+0i,-0.20297078+0i,0.21151133+0i,0.007998015+0i,-0.063330414+0i,1.2816713+0i,-0.005247686+0i,-9.9e+37+0i,-9.9e+37+0i,126.949+0i,653.909+0i,494.78+0i,44.3050000816584+0i,NaN+0i,21.096239408459+0i,39.7887063167009+0i,1349.11717792482+0i,2.89136453220085+0i,25.633426+0i,-9.9e+37+0i,-9.9e+37+0i,494.78+0i,653.909+0i,494.78+0i,0+5.8285694618733e-18i
20230601091425.8+0i,45.2659986913204+0i,9.8534381+0i,0.00727888+0i,2.0370636+0i,2.1093553+0i,0.77907664+0i,0.45655528+0i,0.004059653+0i,-0.052591185+0i,1.2819567+0i,-0.032812243+0i,-9.9e+37+0i,-9.9e+37+0i,400.088+0i,862.284+0i,270.057+0i,45.2659986913204+0i,NaN+0i,21.096482815154+0i,39.8025234946908+0i,1349.53337076591+0i,-1.90100041174632+0i,25.639134+0i,-9.9e+37+0i,-9.9e+37+0i,270.057+0i,862.284+0i,270.057+0i,5.33171701994008e-18+0i
